"stnid","stname","lat","lon","address","city","state"
"944760-99999","OODNADATTA AIRPORT",-27.55,135.45,"Old Ghan Railway, Oodnadatta, Pastoral Unincorporated Area, South Australia, 5734, Australia","Old Ghan Railway","South Australia"
"944970-99999","WANAARING POST OFFICE",-29.7,144.15,"Bourke-Milparinka Road, Wanaaring, Bourke Shire Council, New South Wales, 2840, Australia","Bourke-Milparinka Road","New South Wales"
"944980-99999","LIGHTNING RIDGE CENTRAL SCOOL",-29.433,147.983,"Cardinal Road, Lightning Ridge, Walgett Shire Council, New South Wales, 2834, Australia","Cardinal Road","New South Wales"
"945000-99999","CUNNAMULLA POST OFFICE",-28.067,145.683,"Ivan Street, Cunnamulla, Paroo Shire, Queensland, Australia","Ivan Street","Queensland"
"945100-99999","CHARLEVILLE",-26.413,146.263,"Charleville Airport, Qantas Drive, Charleville, Murweh Shire, Queensland, Australia","Charleville Airport","Queensland"
"945110-99999","INJUNE POST OFFICE",-25.85,148.567,"Injune P-10 State School, Fourth Avenue, Injune, Maranoa Regional, Queensland, 4454, Australia","Injune P-10 State School","Queensland"
"945130-99999","BOLLON MARY ST",-28.033,147.483,"Wallam Street, Bollon, Balonne Shire, Queensland, 4488, Australia","Wallam Street","Queensland"
"945140-99999","MITCHELL (POST OFFICE)",-26.483,147.967,"84, Winchester Street, Mitchell, Maranoa Regional, Queensland, 4465, Australia","Winchester Street","Queensland"
"945150-99999","ROMA AIRPORT",-26.55,148.783,"Northern Road, Roma, Maranoa Regional, Queensland, 4455, Australia","Northern Road","Queensland"
"945170-99999","ST GEORGE AIRPORT",-28.05,148.6,"St George Airport, Carnarvon Highway, St George, Balonne Shire, Queensland, 4487, Australia","St George Airport","Queensland"
"945200-99999","MUNGINDI POST OFFICE",-28.983,148.983,"Loftus Street, Mungindi, Moree Plains Shire Council, New South Wales, 2406, Australia","Loftus Street","New South Wales"
"945210-99999","SURAT",-27.15,149.067,"Walking path, Surat, Maranoa Regional, Queensland, Australia","Walking path","Queensland"
"945250-99999","TAROOM POST OFFICE",-25.633,149.783,"Wide Water, Taroom, Banana Shire, Queensland, 4420, Australia","Wide Water","Queensland"
"945410-99999","INVERELL RESEARCH CENTRE",-29.783,151.083,"McBrides Lane, Inverell, Inverell Shire Council, New South Wales, 2360, Australia","McBrides Lane","New South Wales"
"945420-99999","DALBY AIRPORT",-27.15,151.267,"Ashmore Street, Dalby, Western Downs Regional, Queensland, 4405, Australia","Ashmore Street","Queensland"
"945440-99999","PINDARI DAM",-29.4,151.233,"Pindaroi, Inverell Shire Council, New South Wales, 2361, Australia","Pindaroi","New South Wales"
"945490-99999","KINGAROY AIRPORT",-26.567,151.833,"Kingaroy Cooyar Road, Taabinga, Kingaroy, South Burnett Regional, Queensland, Australia","Kingaroy Cooyar Road","Queensland"
"945500-99999","STANTHORPE LESLIE PARADE",-28.667,151.933,"Smythe Street, Stanthorpe, Southern Downs Regional, Queensland, 4380, Australia","Smythe Street","Queensland"
"945520-99999","OAKEY",-27.411,151.735,"Oakey Army Aviation Centre, Orr Road, Oakey, Toowoomba Regional, Queensland, 4401, Australia","Oakey Army Aviation Centre","Queensland"
"945530-99999","APPLETHORPE",-28.617,151.95,"Ann Street, Applethorpe, Southern Downs Regional, Queensland, 4378, Australia","Ann Street","Queensland"
"945550-99999","WARWICK",-28.2,152.1,"Warwick - Yangan Road, The Hermitage, Warwick, Southern Downs Regional, Queensland, Australia","Warwick - Yangan Road","Queensland"
"945560-99999","TENTERFIELD (FEDERATION PARK)",-29.05,152.017,"Scott Street, Tenterfield, Tenterfield Shire Council, New South Wales, 2372, Australia","Scott Street","New South Wales"
"945620-99999","UNIVERSITY OF QUEENSLAND GATTON",-27.55,152.333,"University of Queensland Gatton Campus, Services Road, Lawes, Lockyer Valley Regional, Queensland, 4343, Australia","University of Queensland Gatton Campus","Queensland"
"945640-99999","RAINBOW BEACH",-25.9,153.083,"Karoonda Road, Rainbow Beach, Gympie Regional, Queensland, 4581, Australia","Karoonda Road","Queensland"
"945660-99999","GYMPIE",-26.183,152.633,"Widgee Crossing Road, Widgee Crossing North, Gympie Regional, Queensland, Australia","Widgee Crossing Road","Queensland"
"945670-99999","MARYBOROUGH",-25.517,152.717,"Maryborough Airport, Baumgart Road, Island Plantation, Maryborough, Fraser Coast Regional, Queensland, 4650, Australia","Maryborough Airport","Queensland"
"945680-99999","BAMAGA INJINOO",-10.951,142.459,"Plane Wreck, Airport Road, Somerset, Torres Shire, Queensland, Australia","Plane Wreck","Queensland"
"945690-99999","SUNSHINE COAST AIRPORT",-26.6,153.1,"Beach Access Number 113, Marcoola, Sunshine Coast Regional, Queensland, 4564, Australia","Beach Access Number 113","Queensland"
"945700-99999","TEWANTIN RSL PARK",-26.383,153.033,"Coreen Avenue, Tewantin, Noosa Shire, Queensland, 4565, Australia","Coreen Avenue","Queensland"
"945720-99999","LISMORE AIRPORT AWS",-28.833,153.26,"Lismore Airport, Bruxner Highway, Loftville, Lismore City Council, New South Wales, 2480, Australia","Lismore Airport","New South Wales"
"945730-99999","CASINO AIRPORT AWS",-28.883,153.05,"Summerland Way, Casino, Richmond Valley Council, New South Wales, 2470, Australia","Summerland Way","New South Wales"
"945750-99999","BRISBANE ARCHERFIELD",-27.57,153.008,"Archerfield Airport, Reginald Street, Rocklea, Greater Brisbane, Queensland, 4106, Australia","Archerfield Airport","Queensland"
"945760-99999","BRISBANE",-27.483,153.033,"St Joseph's Parish School, Burke Lane, Kangaroo Point, Greater Brisbane, Queensland, 4169, Australia","St Joseph's Parish School","Queensland"
"945800-99999","GOLD COAST SEAWAY",-27.933,153.433,"Federation Walk, Main Beach, Gold Coast City, Queensland, 4215, Australia","Federation Walk","Queensland"
"945810-99999","SPITFIRE CHANNEL BEACON",-27.05,153.267,"Queensland, Australia","Queensland","Queensland"
"945820-99999","MURWILLUMBAH (BRAY PARK)",-28.35,153.383,"Commercial Road, Murwillumbah, Tweed Shire Council, New South Wales, 2484, Australia","Commercial Road","New South Wales"
"945840-99999","DOUBLE ISLAND POINT LIGHTHOUSE",-25.933,153.183,"Light House Track, Cooloola, Gympie Regional, Queensland, Australia","Light House Track","Queensland"
"945850-99999","GLEN INNES AG RESEARCH STN",-29.7,151.7,"Strathbogie Road, Glen Innes, Glen Innes Severn Council, New South Wales, 2370, Australia","Strathbogie Road","New South Wales"
"945870-99999","TABULAM",-28.75,152.45,"Crescent Hills Road, Tabulam, Tenterfield Shire Council, New South Wales, Australia","Crescent Hills Road","New South Wales"
"945880-99999","GLEN INNES AIRPORT",-29.683,151.7,"Emmaville Road, Glen Innes, Glen Innes Severn Council, New South Wales, 2370, Australia","Emmaville Road","New South Wales"
"945890-99999","YAMBA PILOT STATION",-29.433,153.367,"Harbour Street, Yamba, Clarence Valley Council, New South Wales, 2464, Australia","Harbour Street","New South Wales"
"945900-99999","INNER RECIPROCAL MARKER",-27.25,153.25,"Moreton Bay, Queensland, 4998, Australia","Moreton Bay","Queensland"
"945910-99999","BANANA BANK NORTH BEACON",-27.533,153.333,"Moreton Bay, Queensland, 4998, Australia","Moreton Bay","Queensland"
"945920-99999","GOLD COAST",-28.164,153.505,"Gold Coast Airport, Arthur Butler Parade, Bilinga, Gold Coast City, Queensland, 4225, Australia","Gold Coast Airport","Queensland"
"945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
"945940-99999","CAPE MORETON LIGHTHOUSE AWS",-27.033,153.467,"Eagers Creek - Blue Lagoon Road, Moreton Island, City of Brisbane, Queensland, 4025, Australia","Eagers Creek - Blue Lagoon Road","Queensland"
"945951-99999","AMBERLEY",-27.641,152.712,"Aviation Street, Amberley, Greater Brisbane, Queensland, 4305, Australia","Aviation Street","Queensland"
"945952-99999","HAMILTON ISLAND",-20.358,148.952,"Hamilton Island Airport, Airport Drive, Whitsundays, Whitsunday Regional, Queensland, Australia","Hamilton Island Airport","Queensland"
"945953-99999","CURTIN",-17.581,123.828,"RAAF Base Access Road, Willare, Shire Of Derby-West Kimberley, Western Australia, Australia","RAAF Base Access Road","Western Australia"
"945955-99999","GOVE",-12.269,136.818,"Gove Airport Carpark, Rio Tinto Alcan Gove Mine Lease, East Arnhem, East Arnhem Region, Northern Territory, Australia","Gove Airport Carpark","Northern Territory"
"945956-99999","TELFER",-21.715,122.229,"Telfer Airport, Village Road, Telfer Village, Shire of East Pilbara, Western Australia, Australia","Telfer Airport","Western Australia"
"945957-99999","TENNANT CREEK",-19.634,134.183,"Tennant Creek Airport, Stuart Street, Tennant Creek, Barkly Region, Northern Territory, 0861, Australia","Tennant Creek Airport","Northern Territory"
"945958-99999","TAREE",-31.889,152.514,"Taree Airport, Audral Close, Cundletown, Mid-Coast Council, New South Wales, 2430, Australia","Taree Airport","New South Wales"
"945959-99999","WANGARATTA",-36.416,146.307,"Wangaratta Airport, Greta Road, Laceby, Rural City of Wangaratta, Victoria, 3678, Australia","Wangaratta Airport","Victoria"
"945960-99999","BALLINA AIRPORT AWS",-28.833,153.55,"Southern Cross Drive, North Ballina, Ballina, Ballina Shire Council, New South Wales, 2478, Australia","Southern Cross Drive","New South Wales"
"945980-99999","EVANS HEAD RAAF BOMBING RANGE",-29.183,153.4,"Postmans Point Trail, Richmond Valley Council, New South Wales, Australia","Postmans Point Trail","New South Wales"
"945990-99999","CAPE BYRON AWS",-28.633,153.633,"Cape Byron Walking Track, Byron Bay, Byron Shire Council, New South Wales, 2481, Australia","Cape Byron Walking Track","New South Wales"
"946000-99999","CAPE NATURALISTE",-33.533,115.017,"Whale Lookout Walk Trail, City Of Busselton, Western Australia, Australia","Whale Lookout Walk Trail","Western Australia"
"946010-99999","CAPE LEEUWIN",-34.367,115.133,"Cape to Cape Track, Leeuwin, Shire Of Augusta Margaret River, Western Australia, Australia","Cape to Cape Track","Western Australia"
"946020-99999","ROTTNEST ISLAND",-32.017,115.5,"Digby Drive, Rottnest Island, City of Cockburn, Western Australia, 6161, Australia","Digby Drive","Western Australia"
"946030-99999","BADGINGARRA RESEARCH STN",-30.333,115.533,"Badgingarra, Shire Of Dandaragan, Western Australia, 6521, Australia","Badgingarra","Western Australia"
"946040-99999","BUNBURY",-33.35,115.65,"Eedle Street, Bunbury, Carey Park, Bunbury, City Of Bunbury, Western Australia, 6230, Australia","Eedle Street","Western Australia"
"946050-99999","MANDURAH",-32.517,115.717,"Breakwater Parade, Mandurah, City of Mandurah, Western Australia, 6201, Australia","Breakwater Parade","Western Australia"
"946070-99999","WANNEROO (OCEAN REEF AWS)",-31.75,115.717,"Western Australia, Australia","Western Australia","Western Australia"
"946080-99999","PERTH METRO",-31.917,115.867,"Central Avenue, Inglewood, City of Stirling, Western Australia, 6006, Australia","Central Avenue","Western Australia"
"946090-99999","JANDAKOT AERO",-32.1,115.883,"Centurion Place, Jandakot, City of Cockburn, Western Australia, 6164, Australia","Centurion Place","Western Australia"
"946100-99999","PERTH INTL",-31.94,115.967,"Perth Airport, Great Eastern Highway, Ascot, City of Belmont, Western Australia, 6104, Australia","Perth Airport","Western Australia"
"946120-99999","PEARCE",-31.668,116.015,"Parade Ground, Bullsbrook, City of Swan, Western Australia, 6084, Australia","Parade Ground","Western Australia"
"946140-99999","SWANBOURNE",-31.95,115.767,"Sheoak Walk, City Beach, Town of Cambridge, Western Australia, 6015, Australia","Sheoak Walk","Western Australia"
"946150-99999","GOOSEBERY HILL",-31.95,116.05,"Balga Place, Gooseberry Hill, City Of Kalamunda, Western Australia, 6076, Australia","Balga Place","Western Australia"
"946170-99999","MANJIMUP",-34.25,116.15,"Graham Street, Manjimup, Shire Of Manjimup, Western Australia, 6258, Australia","Graham Street","Western Australia"
"946190-99999","DALWALLINU COMPARISON",-30.283,116.667,"Reudavey Street, Dalwallinu, Shire Of Dalwallinu, Western Australia, 6609, Australia","Reudavey Street","Western Australia"
"946200-99999","DWELLINGUP",-32.717,116.05,"Old Williams Road, Dwellingup, Shire of Murray, Western Australia, 6213, Australia","Old Williams Road","Western Australia"
"946210-99999","NORTHAM",-31.65,116.667,"Forrest Street, Northam, Shire Of Northam, Western Australia, 6401, Australia","Forrest Street","Western Australia"
"946220-99999","WONGAN HILLS",-30.9,116.717,"Sadler Road, Wongan Hills, Shire Of Wongan-Ballidu, Western Australia, 6603, Australia","Sadler Road","Western Australia"
"946230-99999","YORK",-31.9,116.767,"Spicers Road, Balladong, Shire Of York, Western Australia, 6302, Australia","Spicers Road","Western Australia"
"946250-99999","BROOKTON",-32.367,117,"Humphry Street, Brookton, Shire Of Brookton, Western Australia, 6306, Australia","Humphry Street","Western Australia"
"946270-99999","NARROGIN",-32.933,117.167,"Lock Street, Narrogin, Shire Of Narrogin, Western Australia, 6312, Australia","Lock Street","Western Australia"
"946280-99999","NEWDEGATE RES. STATION",-33.117,118.833,"Mallee Hill, Shire Of Lake Grace, Western Australia, 6353, Australia","Mallee Hill","Western Australia"
"946300-99999","MOUNT BARKER",-34.633,117.633,"Muir Highway, Mount Barker, Shire Of Plantagenet, Western Australia, 6324, Australia","Muir Highway","Western Australia"
"946310-99999","ROCKY GULLY",-34.567,117.017,"Turpin Road, Rocky Gully, Shire Of Plantagenet, Western Australia, Australia","Turpin Road","Western Australia"
"946320-99999","BENCUBBIN",-30.817,117.867,"Koorda-Bullfinch Road, Bencubbin, Shire Of Mount Marshall, Western Australia, 6477, Australia","Koorda-Bullfinch Road","Western Australia"
"946330-99999","CORRIGIN",-32.333,117.867,"Kunjin Street, Corrigin, Shire Of Corrigin, Western Australia, 6375, Australia","Kunjin Street","Western Australia"
"946360-99999","RAVENSTHORPE",-33.583,120.05,"Spence Street, Ravensthorpe, Shire Of Ravensthorpe, Western Australia, 6346, Australia","Spence Street","Western Australia"
"946370-99999","KALGOORLIE BOULDER",-30.789,121.462,"Hart Kerspien Drive, Broadwood, Kalgoorlie, City Of Kalgoorlie-Boulder, Western Australia, 6432, Australia","Hart Kerspien Drive","Western Australia"
"946380-99999","ESPERANCE",-33.833,121.893,"Harbour Road, Chadwick, Shire Of Esperance, Western Australia, Australia","Harbour Road","Western Australia"
"946400-99999","WINDY HARBOUR",-34.833,116.033,"Windy Harbour Road, Windy Harbour, Boorara Brook, Northcliffe, Shire Of Manjimup, Western Australia, Australia","Windy Harbour Road","Western Australia"
"946410-99999","KATANNING",-33.683,117.6,"Katanning, Shire Of Katanning, Western Australia, 6317, Australia","Katanning","Western Australia"
"946420-99999","BALLADONIA",-32.45,123.867,"Balladonia, Shire Of Dundas, Western Australia, 6443, Australia","Balladonia","Western Australia"
"946430-99999","BALGAIR",-31.083,125.65,"Rawlinna, City Of Kalgoorlie-Boulder, Western Australia, 6434, Australia","Rawlinna","Western Australia"
"946440-99999","RED ROCKS POINT",-32.2,127.533,"Madura, Shire Of Dundas, Western Australia, 6443, Australia","Madura","Western Australia"
"946450-99999","EYRE",-32.233,126.3,"Eyre Bird Observatory Road, Cocklebiddy, Shire Of Dundas, Western Australia, Australia","Eyre Bird Observatory Road","Western Australia"
"946470-99999","EUCLA",-31.68,128.879,"Eucla Telegraph Station Road, Eucla, Shire Of Dundas, Western Australia, Australia","Eucla Telegraph Station Road","Western Australia"
"946510-99999","NULLARBOR",-31.45,130.9,"Eyre Highway, Nullarbor, Yalata, Pastoral Unincorporated Area, South Australia, 5690, Australia","Eyre Highway","South Australia"
"946530-99999","CEDUNA AMO",-32.133,133.7,"Hastings Road, Ceduna, The District Council of Ceduna, South Australia, 5690, Australia","Hastings Road","South Australia"
"946540-99999","STREAKY BAY",-32.8,134.217,"Redding Road, Streaky Bay, The District Council of Streaky Bay, South Australia, 5680, Australia","Redding Road","South Australia"
"946550-99999","TARCOOLA",-30.717,134.583,"Tarcoola, Pastoral Unincorporated Area, South Australia, 5701, Australia","Tarcoola","South Australia"
"946560-99999","ELLISTON",-33.65,134.883,"Esplanade, Elliston, District Council of Elliston, South Australia, 5670, Australia","Esplanade","South Australia"
"946570-99999","KYANCUTTA",-33.133,135.55,"Elliston Stock Route, Kyancutta, Wudinna District Council, South Australia, 5651, Australia","Elliston Stock Route","South Australia"
"946590-99999","WOOMERA",-31.144,136.817,"RAAF Woomera Airfield, Olympic Dam Highway, Roxby Downs Station, Woomera, Pastoral Unincorporated Area, South Australia, 5720, Australia","RAAF Woomera Airfield","South Australia"
"946600-99999","MOUNT IVE",-32.433,136.067,"Mount Ive Road, Mount Ive, Pastoral Unincorporated Area, South Australia, 5717, Australia","Mount Ive Road","South Australia"
"946610-99999","CLEVE",-33.7,136.483,"Rudall Road, Cleve, The District Council of Cleve, South Australia, 5640, Australia","Rudall Road","South Australia"
"946620-99999","CLEVE AERODROME",-33.717,136.5,"Arno Bay - Cleve Road, Cleve, The District Council of Cleve, South Australia, 5640, Australia","Arno Bay - Cleve Road","South Australia"
"946630-99999","WAROOKA",-34.983,137.4,"Yorke Highway, Warooka, Yorke Peninsula Council, South Australia, 5577, Australia","Yorke Highway","South Australia"
"946650-99999","MAITLAND",-34.383,137.667,"Port Victoria Road, Yorke Valley, Maitland, Yorke Peninsula Council, South Australia, 5573, Australia","Port Victoria Road","South Australia"
"946660-99999","WARBURTO POINT",-34,137.533,"Warburto, Copper Coast Council, South Australia, 5556, Australia","Warburto","South Australia"
"946680-99999","KIMBA",-33.15,136.417,"Hopcraft Road, Kimba, The District Council of Kimba, South Australia, 5641, Australia","Hopcraft Road","South Australia"
"946720-99999","ADELAIDE INTL",-34.945,138.531,"Adelaide Airport, Burbridge Road, West Beach, Adelaide, City of West Torrens, South Australia, 5024, Australia","Adelaide Airport","South Australia"
"946730-99999","HAWKER",-31.883,138.433,"Flinders Ranges Way, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia","Flinders Ranges Way","South Australia"
"946740-99999","PORT LINCOLN",-34.605,135.88,"Port Lincoln Airport, Ron Fuller Court, North Shields, The District Council of Lower Eyre Peninsula, South Australia, 5607, Australia","Port Lincoln Airport","South Australia"
"946750-99999","KENT TOWN",-34.917,138.617,"St. Peter's School Collegiate, Richmond Street, Hackney, Adelaide, The City of Norwood Payneham and St Peters, South Australia, 5069, Australia","St. Peter's School Collegiate","South Australia"
"946760-99999","ARKAROOLA",-30.317,139.333,"Station Backtrack, Arkaroola, Arkaroola Village, Pastoral Unincorporated Area, South Australia, 5701, Australia","Station Backtrack","South Australia"
"946770-99999","HINDMARSH ISLAND AWS",-35.517,138.817,"Wentworth Parade, Hindmarsh Island, Alexandrina Council, South Australia, 5214, Australia","Wentworth Parade","South Australia"
"946780-99999","MT CRAWFORD AWS",-34.733,138.933,"Ridge Road, Mount Crawford, The Barossa Council, South Australia, 5351, Australia","Ridge Road","South Australia"
"946790-99999","YONGALA",-33.033,138.75,"Main Street, Yongala, The District Council of Peterborough, South Australia, 5493, Australia","Main Street","South Australia"
"946800-99999","EUDUNDA",-34.183,139.083,"Eudunda Golf Course, Lavender Federation Trail, Eudunda, The Regional Council of Goyder, South Australia, 5374, Australia","Eudunda Golf Course","South Australia"
"946810-99999","NURIOOTPA VITICULTURAL",-34.483,139,"Barossa Trail, Nuriootpa, The Barossa Council, South Australia, 5355, Australia","Barossa Trail","South Australia"
"946820-99999","LOXTON RESEARCH CENTRE",-34.433,140.6,"Edmondson Road, Loxton, The District Council of Loxton Waikerie, South Australia, 5333, Australia","Edmondson Road","South Australia"
"946830-99999","KUITPO FOREST RESERVE",-35.167,138.667,"Old Coach Road, Kangarilla, Adelaide, City of Onkaparinga, South Australia, 5157, Australia","Old Coach Road","South Australia"
"946840-99999","YUNTA AIRSTRIP",-32.567,139.567,"Yunta, Pastoral Unincorporated Area, South Australia, 5440, Australia","Yunta","South Australia"
"946850-99999","KADINA",-33.97,137.67,"Sandercock Road, Boors Plain, Kadina, Copper Coast Council, South Australia, 5554, Australia","Sandercock Road","South Australia"
"946860-99999","FOWLERS GAP AWS",-31.083,141.7,"Fowlers Gap, Unincorporated Far West Area, New South Wales, 2880, Australia","Fowlers Gap","New South Wales"
"946900-99999","AUSTIN PLAINS",-35.378,140.538,"Lehmann Road, Lameroo, Southern Mallee District Council, South Australia, 5302, Australia","Lehmann Road","South Australia"
"946910-99999","BROKEN HILL AIRPORT AWS",-32,141.467,"Pro Hart Way, Broken Hill, Broken Hill City Council, New South Wales, 2880, Australia","Pro Hart Way","New South Wales"
"946920-99999","LAKE VICTORIA STORAGE",-34.05,141.267,"Lock Seven Road, Rufus, Wentworth Shire Council, New South Wales, 2648, Australia","Lock Seven Road","New South Wales"
"946940-99999","MENINDEE POST OFFICE",-32.4,142.417,"Wilcannia-Menindee Road, Menindee, Central Darling Shire Council, New South Wales, 2879, Australia","Wilcannia-Menindee Road","New South Wales"
"946960-99999","BALRANALD",-34.633,143.55,"Sturt Highway, Balranald, Balranald Shire Council, New South Wales, 2715, Australia","Sturt Highway","New South Wales"
"947000-99999","HILLSTON AIRPORT",-33.483,145.517,"Lachlan Street, Hillston, Carrathool Shire Council, New South Wales, 2675, Australia","Lachlan Street","New South Wales"
"947020-99999","HAY AIRPORT AWS",-34.533,144.833,"Hay Airport, Moama Street, Hay South, Hay Shire Council, New South Wales, 2711, Australia","Hay Airport","New South Wales"
"947030-99999","BOURKE AIRPORT AWS",-30.033,145.95,"Virginia, North Bourke, Bourke Shire Council, New South Wales, Australia","Virginia","New South Wales"
"947070-99999","CONDOBLIN AG RESEARCH STN",-33.067,147.233,"Condobolin Agricultural Research and Advisory Station, Fifield Road, Fifield, Condobolin, Lachlan Shire Council, New South Wales, 2877, Australia","Condobolin Agricultural Research and Advisory Station","New South Wales"
"947100-99999","COBAR AIRPORT AWS",-31.533,145.8,"Airport Road, Cobar, Cobar Shire Council, New South Wales, 2835, Australia","Airport Road","New South Wales"
"947110-99999","COBAR MO",-31.483,145.833,"Cobar, Cobar Shire Council, New South Wales, 2835, Australia","Cobar","New South Wales"
"947120-99999","YOUNG AIRPORT",-34.25,148.25,"Maimuru SS Road, Thuddungra, Hilltops Council, New South Wales, 2594, Australia","Maimuru SS Road","New South Wales"
"947140-99999","COOTAMUNDRA AIRPORT",-34.633,148.033,"Little Chamen Street, Cootamundra, Cootamundra-Gundagai Regional Council, New South Wales, 2590, Australia","Little Chamen Street","New South Wales"
"947150-99999","FORBES AIRPORT",-33.367,147.917,"Bedgerabong Road, Forbes, Forbes Shire Council, New South Wales, 2871, Australia","Bedgerabong Road","New South Wales"
"947160-99999","GOULBURN (PROGRESS ST)",-34.717,149.733,"Middle Arm Road, Bradfordville, Goulburn, Goulburn Mulwaree Council, New South Wales, 2580, Australia","Middle Arm Road","New South Wales"
"947190-99999","DUBBO",-32.217,148.575,"Dubbo City Regional Airport, Cooreena Road, Yuulong, Dubbo, Dubbo Regional Council, New South Wales, 2830, Australia","Dubbo City Regional Airport","New South Wales"
"947210-99999","PEAK HILL POST OFFICE",-32.717,148.183,"Warrah Street, Peak Hill, Parkes Shire Council, New South Wales, 2869, Australia","Warrah Street","New South Wales"
"947230-99999","WELLINGTON (AGROWPLOW)",-32.567,148.95,"Mount Arthur Rural Fire Brigade, 24, Samuel Street, Wellington, Dubbo Regional Council, New South Wales, 2820, Australia","Mount Arthur Rural Fire Brigade","New South Wales"
"947250-99999","GRENFELL (MANGANESE RD)",-33.9,148.15,"South Street, Grenfell, Weddin Shire Council, New South Wales, 2810, Australia","South Street","New South Wales"
"947270-99999","MUDGEE AIRPORT AWS",-32.567,149.617,"Cudgegong Fire Control Centre, Goodger Place, Eurunderee, Mid-Western Regional Council, New South Wales, 2850, Australia","Cudgegong Fire Control Centre","New South Wales"
"947280-99999","COONABARABRAN (NAMOI STREET)",-31.267,149.267,"Old Common Road, Coonabarabran, Warrumbungle Shire Council, New South Wales, 2357, Australia","Old Common Road","New South Wales"
"947290-99999","BATHURST AIRPORT AWS",-33.417,149.65,"Ceramic Avenue, Raglan, Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia","Ceramic Avenue","New South Wales"
"947300-99999","BATHURST AGRICULTURAL STATION",-33.433,149.567,"Bathurst TAFE, Havannah Street, South Bathurst, Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia","Bathurst TAFE","New South Wales"
"947320-99999","GULGONG POST OFFICE",-32.367,149.533,"Herbert Street, Gulgong, Mid-Western Regional Council, New South Wales, 2852, Australia","Herbert Street","New South Wales"
"947350-99999","TARALGA (P.O.)",-34.4,149.817,"Chisholm Street, Taralga, Upper Lachlan Shire Council, New South Wales, 2580, Australia","Chisholm Street","New South Wales"
"947400-99999","GUNNEDAH SCS",-31.033,150.267,"McCathloan Downs, Gunnedah, Gunnedah Shire Council, New South Wales, 2380, Australia","McCathloan Downs","New South Wales"
"947410-99999","LITHGOW",-33.483,150.133,"17, Inner Crescent, Bowenfels, Lithgow, Lithgow City Council, New South Wales, 2790, Australia","Inner Crescent","New South Wales"
"947430-99999","MOUNT BOYCE",-33.617,150.267,"Great Blue Mountains Trail, Blackheath, Blue Mountains City Council, New South Wales, 2785, Australia","Great Blue Mountains Trail","New South Wales"
"947440-99999","KATOOMBA (NARROW NECK RD)",-33.717,150.283,"Six Foot Track, Katoomba, Sydney, Blue Mountains City Council, New South Wales, 2780, Australia","Six Foot Track","New South Wales"
"947460-99999","MOSS VALE AWS",-34.517,150.417,"19-21, Eridge Park Road, Burradoo, Wingecarribee Shire Council, New South Wales, 2576, Australia","19-21","New South Wales"
"947490-99999","BELLAMBI AWS",-34.383,150.933,"New South Wales, Australia","New South Wales","New South Wales"
"947500-99999","NOWRA",-34.949,150.537,"HMAS Albatross, Base Entry Road, Nowra Hill, Shoalhaven City Council, New South Wales, 2540, Australia","HMAS Albatross","New South Wales"
"947520-99999","BADGERY'S CREEK AIRPORT",-33.9,150.733,"Badgerys Creek Road, Bradfield, Sydney, Liverpool City Council, New South Wales, 2556, Australia","Badgerys Creek Road","New South Wales"
"947530-99999","RICHMOND",-33.601,150.781,"RAAF Base Richmond, Clarendon Street, Richmond, Sydney, Hawkesbury City Council, New South Wales, 2753, Australia","RAAF Base Richmond","New South Wales"
"947540-99999","NULLO MOUNTAIN AWS",-32.733,150.233,"Nullo East Trail, Nullo Park, Mid-Western Regional Council, New South Wales, Australia","Nullo East Trail","New South Wales"
"947550-99999","CAMDEN",-34.04,150.687,"Camden Airport, Exeter Street, Camden, Sydney, Camden Council, New South Wales, 2570, Australia","Camden Airport","New South Wales"
"947560-99999","MURRURUNDI (HAYDON STREET)",-31.768,150.842,"Haydon Street, Stuarts Rocks, Murrurundi, Upper Hunter Shire Council, New South Wales, 2338, Australia","Haydon Street","New South Wales"
"947570-99999","CAMBELL TOWN / MOUNT ANNAN",-34.067,150.767,"Mount Annan Botanic Garden, Aristida Circuit, Mount Annan, Sydney, Camden Council, New South Wales, 2567, Australia","Mount Annan Botanic Garden","New South Wales"
"947590-99999","TERREY HILLS AWS",-33.683,151.233,"Terrey Hills, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2084, Australia","Terrey Hills","New South Wales"
"947600-99999","HORSLEY EQUESTRIAN CENTRE",-33.85,150.85,"Wallgrove Road, Horsley Park, Sydney, Fairfield City Council, New South Wales, 2175, Australia","Wallgrove Road","New South Wales"
"947610-99999","BARRABA",-30.383,150.617,"Starr Road, Barraba, Tamworth Regional Council, New South Wales, 2347, Australia","Starr Road","New South Wales"
"947620-99999","HOLSWORTHY CONTROL RANGE",-33.983,150.917,"Holsworthy, Sydney, Liverpool City Council, New South Wales, 2173, Australia","Holsworthy","New South Wales"
"947630-99999","PENRITH",-33.717,150.683,"Penrith Whitewater Stadium, McCarthys Lane, Castlereagh, Sydney, Penrith City Council, New South Wales, 2749, Australia","Penrith Whitewater Stadium","New South Wales"
